"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","찾아오시는 길","업소정보","자랑거리","추천수","기준년월","업소 사진"
"00008575","용짜장","002","중식","서울특별시 성동구 아차산로7길 28 (성수동2가)","02-3409-5679","null","영업시간 : 9:00~21:00 좌석수 : 80석 휴무일 : 연중무휴 배달 :X 카드 : ○ 주차: X       ","배달을 안하고 저렴한 가격에 홀에서만 판매 저렴하고 친절로 모시며 가격안정에 앞장서 가격을 올리지 않을 계획","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/"
"00008277","미미미용실","005","이 미용업","서울특별시 구로구 고척로31길 4 (고척동)","02-2615-5346","개봉시장 내 양서마트 맞은 편에 위치합니다.","영업시간 : 09:00~21:00 좌석수 : 3석 휴무일 : 매주 일요일 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : X 전자우편주소 : X","변함없는 친절함과 최선을 다함(어르신 요금 할인)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706154019.JPG"
"00008326","국제세탁소","007","세탁업","서울특별시 송파구 문정로11길 12 (가락동)","409-1914","버스 : 3416","영업시간 : 08:30~ 23:00 무일 : 매주 일요일  기타 : 모피 전문점  ","향균세탁 동종업계대비 저렴한 가격과 친절한 서비스로 고객을 응대합니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120704135426.jpg"
"00008578","주노헤어숍","005","이 미용업","서울특별시 성동구 왕십리로24길 13-1 (도선동)","02-2298-3546","null","영업시간 : 9:00~21:00 좌석수 : 3석  휴무일 : 매주 목요일 예약: ○ 카드 : X 배달 : x 주차 : X     ","경로할인으로 어르신 손님이 많이 찾으며 주인이 직접 운영하여 인건비를 절감 경로할인(커트 7000원 파마 20000원)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/"
"00008366","김연화헤어숍","005","이 미용업","서울특별시 구로구 구로동로 12 (가리봉동)","02-858-9940","남구로역 3번 출구에서 디지털단지 오거리 방향 방면 고려한의원 옆에 위치합니다.","영업시간 : 10:00~20:00 좌석수 : 3석 휴무일 : 매주 화요일 예약 : 가능 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706153026.JPG"
"00008712","함흥식당","001","한식","서울특별시 서초구 마방로10길 54-2 (양재동)","02-577-7900","3호선 양재역5번출구 마을버스(18번)삼호물산하차. 삼호물산뒤 먹자골목에 위치함.","영업시간 :12:00~22:30 좌석수 :46 휴무일 :구정.추석 배달 :불가 예약 :가능 카드 :가능 주차 :가능 홈페이지 주소 : 전자우편주소 : ","국내산 삽겹으로 고기가 싱싱하고 육질이 살아있으며 깔끔하고 신선한  식재료를 사용합니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130613113653.JPG"
"00008091","일심해장국","001","한식","서울특별시 도봉구 방학로 204 (방학동)","02-956-7027","null","영업시간 : 24시간 좌석수 : 휴무일 : 배달 : 불가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 : 기타 :    ","서민들이 즐겨하는 음식이 주메뉴로 하는 24시간 운영 업소로서 단골과 인지도로 찾아오는 업소. 고정적 재료의 공급이 원활 또한 셀프서비스로 종업원수를 줄여 인건비를 절약하며 박리다매의 운영 방식","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120620143827.jpg"
"00008455","여신김밥","004","기타외식업(다방패스트푸드등)","서울특별시 강남구 선릉로90길 70 인텔빌딩 지상1층(대치동)","02-501-0925","포스코사거리 동부화재 본사 뒷 골목. 버스정류장(23805)에서 100m거리","영업시간 :07:30~21:00 좌석수 :36석 휴무일 :매주 토일요일 배달 :불가능 예약 :불가능 카드 :가능 주차 :가능 홈페이지 주소 : 전자우편주소 :           ","15년째 가게 운영 세트메뉴가 잘 짜여있다(라면정식)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140430180509.jpg"
"00008617","이혜경롤앤컷","005","이 미용업","서울특별시 송파구 성내천로 222 (마천동)","3012-3824","전철노선 : 5호선 마천역 2번출구에서 마천중앙시장 방면 도보 10분 버스노선 : 331532143318 마천시장마천동 우방아파트 정류장 하차 도보 3분","영업시간 :09:00~2100 좌석수 :6 휴무일 :연중무휴 .(설추석명절휴무) 예   약 :가능       ","군인우대 경로우대 (70세이상 50%할인)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130625115030.JPG"
"00008446","시골청국장","001","한식","서울특별시 강남구 학동로 504 (삼성동) 서울빌딩 101호","02-548-0171","청담역 6번 출구에서 경기고 방면으로 도보1분","영업시간 :11:00~21:00 좌석수 : 휴무일 : 배달 :불가능 예약 : 카드 : 주차 :가능 홈페이지 주소 : 전자우편주소 :        ","메뉴가 다양하고 가격이 저렴하다","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20170404100655.jpg"
"00008524","다복콩비지","001","한식","서울특별시 강남구 개포로22길 31 (개포동)","02-573-2057","국악고에서 크린토피아 방향으로 150m 3분거리","영업시간 : 10:00~22:00 좌석수 : 40석 휴무일 : 일요일 배달 : 불가능 예약 : 가능 카드 : 가능 주차 : 1~2대 가능 홈페이지 주소 : 전자우편주소 :       ","매일 신선한 오리를 공급받고 있으며 호텔조리장으로 11년 근무하신 사장님이 직접 운영하는 곳이다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140428131740.jpg"
"00008378","코너집","001","한식","서울특별시 중구 퇴계로 336 (광희동1가)","02-2279-6266","동대문역사문화공원역 4번 출구 건너편 (이비스버젯앰버서더동대문 호텔 근처)","(2022년 7월 기준) ○ 영업시간 : 07:00~22:00 (휴무일: 없음) ○ 좌석수 : 100석  * 지하1층에 단체석 완비(70석) ○ 배달: 불가 ○ 주차: 불가 ○ 기타: 예약 가능 카드 가능       ","35년 이상된 음식점으로  인심 좋으신 주인 아주머니가 저렴한 가격으로  찌개부터 국밥 돈가스 닭도리탕 홍어요리까지 다양하고 맛있는 음식을 제공합니다.  단골손님이 많은 곳이에요~","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220511170240.jpg"
"00008619","전영숙헤어샵","005","이 미용업","서울특별시 송파구 거마로20길 23 (마천동)","431-3689","전철노선 : 5호선 마천역 2번출구에서 마천중앙시장 방면 도보 5분 버스노선 : 331532143318(마천동 사거리정류장 하차)도보 3분                33143317(마천2동 주민센터 정류장 하차)도보 5분","영업시간 :AM 09:00~PM 20:30 좌석수 : 4석 휴무일 : 연중무휴(설추석 명절휴무) 예   약 : 가능 카   드 : 가능     ","청소년 할인","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130607093217.JPG"
"00008314","명가분식","001","한식","서울특별시 구로구 오류로8길 85 (오류동)","02-2682-0384","오류역 2번 출구에서 50m 거리입니다.","영업시간 : 9:00~21:00 좌석수 : 18석 휴무일 : 매주 일요일 배달 : 오류2동 지역 가능 예약 : X 카드 : 가능 주차 : X 홈페이지 주소 : X 전자우편주소 : X","찌개와 반찬이 맛있습니다. (가정식백반 전문)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706161456.JPG"
"00008469","미러칼국수","001","한식","서울특별시 강남구 삼성로 212 지하층 32호(대치동 은마아파트)","02-501-8748","대치역 3번 출구 은마아파트상가내 지하 1층","영업시간 : 11:00~20:00 좌석수 : 30 휴무일 : 일요일 배달 : 불가능 예약 : 불가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :       ","좋은 재료를 사용하여 집에서 먹는 맛을 추구합니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140424133307.jpg"
"00008270","까망머리방","005","이 미용업","서울특별시 구로구 고척로33라길 19 (고척동)","02-2615-3895","고척동 그랜드아파트 근처에 위치합니다.","영업시간 : 09:00~21:00 좌석수 : 3석 휴무일 : 매월 둘째 넷째 일요일 예약 : 가능 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X ","오랜 단골손님을 위해 가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706153729.JPG"
"00007852","신성김밥","001","한식","서울특별시 송파구 백제고분로22길 28 (삼전동 칸스빌)","420-9563","버스노선: 3315.3314.3417.8202.3423.340.363.1007-1 삼전동 주민센터 방면 100m'  ","영업시간 - 08:30 ~20:00 휴무일:매주일요일 좌   석:14석 배   달:불가 주   차:불가 예   약:불가 카   드:가능 ","홀 방문시 저렴한 가격으로 제공 신선한 국내산 식자재로  정성껏 맛있게 제공합니다 ' ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120703113956.JPG"
"00008558","맛고을갈비찜","001","한식","서울특별시 동대문구 경동시장로10길 57 (제기동)","960-1717","청량리 현대코아 골목","영업시간 :10:00~24:00 좌석수 : 6테이블(24석) 휴무일 : 주일 10:00~16:00 배달 :무 예약 : 가능 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :   ","저렴하고 친절하고 양을 많게 대중들에게 다가가고 있습니다. 많은 사람들이 칭찬하고 있음. 양이 많아 1인분 시켜도 2인이 먹을 수 있을 정도임.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130820145356.jpg"
"00008649","연경궁","002","중식","서울특별시 영등포구 국회대로30길 14 (당산동3가)","02-2679-3569","영등포구청 후문","영업시간 : 09:00-21:30 좌석수 : 48석 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 불가 홈페이지 주소 : 전자우편주소 :  ","저렴한 요일메뉴 집에서 직접 담근 김치!","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130611114122.gif"
"00008654","현대세탁소","007","세탁업","서울특별시 영등포구 신풍로25가길 11 (신길동)","02-832-1357","지하철 7호선 보라매역 인근","영업시간 : 08:00-22:00 좌석수 : 휴무일 : 매주 일요일 배달 : 불가 예약 : 카드 : 불가 주차 : 가능 홈페이지 주소 : 전자우편주소 : ","성심성의","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130611112445.jpg"
"00008672","또순이네","001","한식","서울특별시 종로구 사직로 130 (적선동) 적선현대빌딩 지하1층","730-6980","지하철 3호선 경복궁역과 연결되어 있음. ","영업시간 : 7시 ~ 20시 좌석수 : 10개 휴무일 : 일요일 공휴일 배달 : 불가 예약 : 불가 카드 : 가능 주차 : 불가     ","행정자치부 청사 주변에 위치한 업소로 저렴하고 깨끗하여 직장인들이 이용하기 좋은 업소","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130605155752.jpg"
"00008604","미스터미용실","005","이 미용업","서울특별시 강동구 천호대로162길 53 (성내동)","02-473-9374","-","영업시간 : 9시 ~ 21시 좌석수 : 9석 이상 휴무일 : 매주 화요일 배달 : X 예약 : X 카드 : O 주차 : 양호함 홈페이지 주소 : X 전자우편주소 : X    ","7년째 한자리에서 가격인상 없이 저렴한 가격 유지. 머리 기장 추가요금이 없는 소문난 가게(베스트추천)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220527141418.jpg"
"00008305","서울분식","001","한식","서울특별시 송파구 가락로42길 13 (방이동)","415-1576","구청 앞 3414 3216을 타고 방이초등학교에서 내림 황제 짜장 입구 ","영업시간 : 06:00 ~ 21:00  좌석수 : 9개(테이블) 휴무일 : 매주 일요일     ","철저한 위생관리. 친절서비스 물가상승 대비 3년 가격 동결 ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120704130330.JPG"
"00008484","고등어식당","001","한식","서울특별시 강남구 강남대로84길 33 (역삼동)","02-2050-0095","강남역 국기원에서 역삼1동주민쎈타쪽 100m 대우빌지하1층","영업시간 :9:00~21:00 좌석수 :20석 휴무일 :일요일 배달 :불가능 예약 :가능 카드 :가능 주차 :가능 홈페이지 주소 : 전자우편주소 :        ","가족이 먹는 것처럼 정성껏 요리","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140430112929.jpg"
"00008458","보리수","001","한식","서울특별시 강남구 삼성로82길 25 (대치동)","02-564-7419","댜명중학교에서 도보 1분","영업시간 : 11:00~21:00 좌석수 : 50석 휴무일 : 일요일 배달 : 불가능 예약 : 가능 카드 : 가능 주차 : 불가능 홈페이지 주소 : 전자우편주소 : 기타 :        ","병어조림이 강남에서 가장 맛있는 집","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140430180142.jpg"
"00008341","김밥짱","001","한식","서울특별시 구로구 구로동로 125-1 (구로동)","02-861-2644","고대구로병원 맞은 편에서 남구로역 방향에 위치합니다.","영업시간 : 24시간 좌석수 : 20석 휴무일 : 연중무휴(명절 당일 휴무) 배달 : 가능(주변 상가 지역만) 예약 : × 카드 : 가능 주차 : X 홈페이지 주소 : X 전자우편주소 : X ","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706150538.JPG"
"00008324","명품삼겹살점문점","001","한식","서울특별시 송파구 백제고분로32길 3 (삼전동)","419-2550","버스 : 3315331434183016900 송파구민 회관 밑 삼전 우체국 골목 전철 : 8호선 석촌역 7번출구 290m 삼정동 우체국","영업시간 : 11:00~23:00 기타 : 주차가능  ","명품삼결살에 저렴한 가격과 최상의 서비스를 제공합니다. ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120704134812.JPG"
"00008037","갤러리헤어","005","이 미용업","서울특별시 광진구 동일로72길 46 (중곡동)","465-3861","null","영업시간 : 10:00 ~ 21:00 좌석수 : 휴무일 : 매주화요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","null","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120620161419.JPG"
"00008061","동현세탁","007","세탁업","서울특별시 광진구 뚝섬로52라길 65 (자양동)","458-6268","SC은행에서 건너편 길따라 100M","영업시간 : 08:30 ~ 22:00 좌석수 : 휴무일 : 매주 일요일 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","저렴한 가격으로 14년 운영","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120620162840.JPG"
"00008646","순미식당","001","한식","서울특별시 영등포구 대방천로 188 (신길동)","02-832-7436","신길6동주민센터 인근","영업시간 : 11:30-22:00 좌석수 : 36석 휴무일 : 명절만 휴무 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :  ","- 정갈하고 맛있는 반찬 6가지가 제공되는 가정식 백반이 5000원.                                        (1인분 주문 시에는 6000원)  - 백반과 삼겹살만 판매하는 단촐한 메뉴 구성의 백반전문 식당.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130612152043.jpg"
"00008065","금천이발관","005","이 미용업","서울특별시 중랑구 면목로29길 21 (면목동)","402-92-5613","중곡초등학교 근처","영업시간 : 8시~20시 좌석수 : 4석 휴무일 :매주 수요일 예약 : 불가 카드 : 불가 주차 : 가게앞 2~3대  ","어르신 장애인 경찰공무원에게는 이용료 30% 할인을 하고 있으며 20년 넘게 자원봉사 하시는 사장님이 운영하는 이발소 '노인이용료는 5000원 1993년부터 지금까지 자원봉사 활동 2001년 자랑스런 시민상 수상'   ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120627110729.JPG"
"00007812","퓨전 한마당","003","경양식일식","서울특별시 종로구 대학로5길 5 (연건동)","741-3455","대학로 방송통신대학교 앞 한솥도시락 골목으로 20m","영업시간 : 오전 9:30 ~ 오후 08:30까지 좌석수 :7테이블 휴무일 :일요일 배달 :불가 예약 :가능 카드 :가능 주차 :불가    ","특제소스 우수한고기","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20111102153035.JPG"
"00008449","향나무집","001","한식","서울특별시 강남구 봉은사로111길 7 지상1층 (삼성동)","02-511-3061","삼성동(봉은사역 4번 출구) 국순당 건물 뒤편 도보 1분","영업시간 :08:00~22:00 좌석수 : 휴무일 : 배달 :불가능 예약 : 카드 : 주차 :불가능 홈페이지 주소 : 전자우편주소 :        ","7년전 가격 그대로 주인이 직접 조리를 하여 청결유지","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140501132245.jpg"
"00008170","돈구워돈","001","한식","서울특별시 송파구 오금로 532 (거여동)","401-6363","5호선 거여역 5번출구 국민은행 방면 도보 5분 3217 종점 버스노선 : 3217 3313","영업시간 : 12:00~23:30 좌석수 : 80좌석 휴무일 : 명절 휴무    ","모든 식자재및 야채. 모든 재료는 최상의 제품으로 조리하며 손님상에 나갔던 음식은 재사용을 절대하지 않고 오픈주방으로 위생관리 철저히 합니다. 가족운영으로 인한 인건비 절감 ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120703143308.jpg"
"00008658","셀프미용원","005","이 미용업","서울특별시 영등포구 디지털로 397 (대림1동)","02-847-3945","대림1동 새마을금고 주변","영업시간 : 08:30-20:30 좌석수 : 2석 휴무일 : 매주 일요일 배달 : 예약 : 불가 카드 : 불가 주차 : 업소앞 2대 홈페이지 주소 : 전자우편주소 : ","부부가 경영하고 있으며 고정 장소에서의 오랜 기간 영업으로 인한 단골 확보 컷트+염색 10000원","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130612152647.jpg"
"00008587","우주미용실","005","이 미용업","서울특별시 동대문구 전농로16길 33 (전농동)","2244-2180","null","영업시간 : 07시~19시 좌석수 : 2석 휴무일 : 둘째넷째 일요일 배달 : 무 예약 : 무 카드 : 무 주차 : 홈페이지 주소 : 전자우편주소 : ","정신지체 2급 아들을 두고 있는 상태로 이용자들께 불편함을 주고 있고 다른데로 이동도 할 수 없는 상태라 어르신들만 이용하는 중입니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130820144402.JPG"
"00007842","선경헤어샵","005","이 미용업","서울특별시 강남구 삼성로 151 선경상가 지하1층 13호(대치동 선경아파트)","02-566-3019","대치역 8번 풀구 선경아파트 지하상가 16호","영업시간 : 10:00 ~ 20:00 좌석수 : 2 휴무일 : 일요일 배달 :불가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :     ","학생 고객 많음","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140424131215.jpg"
"00008300","소망미용실","005","이 미용업","서울특별시 구로구 개봉로1나길 16 (개봉동)","02-2613-5428","한진아파트 후문에 위치합니다.","영업시간 : 10:00~20:00 좌석수 : 3석 휴무일 : 매주 일요일 예약 : 가능 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706160843.JPG"
"00008585","은주헤어뉴스","005","이 미용업","서울특별시 동대문구 답십리로51길 24 (답십리동)","2213-6336","null","영업시간 : 08시~18시 좌석수 : 2석 휴무일 : 매주수요일 배달 : 무 예약 : 무 카드 : 주차 : 무 홈페이지 주소 : 전자우편주소 :  ","어르신들의 사랑방같은 미용실임","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130820145126.jpg"
"00008263","깍구뽁구미용실","005","이 미용업","서울특별시 구로구 우마1길 54 (가리봉동)","02-838-4910","남구로역 2번 출구 방면 구로3동 성당 맞은 편에 위치합니다.","영업시간 : 09:30~21:00 좌석수 : 4석 휴무일 : 매주 화요일 예약 : 가능  카드 : 가능 주차 : X 홈페이지 주소 : X 전자우편주소 : X","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706153445.JPG"
"00008350","자매분식","001","한식","서울특별시 구로구 구로중앙로8길 41 (구로동)","02-851-5293","대림역 2번 출구 방면 경남아너스빌 아파트 입구에 위치합니다.","영업시간 : 08:00~20:00 좌석수 : 20석 휴무일 : 매주 일요일 배달 : X 예약 : X 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X ","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706151647.JPG"
"00008352","우동.짜장","002","중식","서울특별시 구로구 구로동로 126-16 (구로동)","02-837-9705","기업은행 옆 골목 GO마트 후문 앞","영업시간 : 9:00~21:00  좌석수 : 7석 휴무일 : 첫째 셋째주 일요일 배달 : X 예약 : X 카드 : X 주차 : 가능 홈페이지 주소 : X 전자우편주소 : X ","저희 업소는 친절하며 깨끗한 환경에서 조리하고 셀프로 반찬을 가져다 먹는 시스템으로 재활용을 절대 하지않습니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706151915.JPG"
"00008414","지리산","001","한식","서울특별시 강남구 학동로43길 7 지상1층 (논현동)","02-546-3127","논현2동 주민센터에서 학동로 방면으로 도보1분","영업시간 :06:00~22:00 좌석수 :56석 휴무일 :연중무휴 배달 :불가능 예약 :가능 카드 :가능 주차 :불가능 홈페이지 주소 : 전자우편주소 :         ","신선한 재료만 사용하고 매장이 깨끗함 친절한 서비스","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140501160313.jpg"
"00008345","24시헤어샵","005","이 미용업","서울특별시 구로구 도림로10길 31-1 (구로동)","없음","남구로역과 구로남초등학교 사이에 위치합니다.","영업시간 : 09:00~19:00 좌석수 : 3석 휴무일 : 매주 화요일 예약 : 가능 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X ","가격이 저렴하고 친절함","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706151016.JPG"
"00008730","토종집","001","한식","서울특별시 강북구 인수봉로19나길 32 (수유동 삼안빌라)","981-3104","지하철 (수유)역 3번출구 -> 마을버스 3번 종점 (빨래골)역 하차 도보 (1)분 지하철 (미아)역 7번출구 -> 마을버스 10번 (수유경로당)역 하차 도보 (1)분","영업시간 : 10:00~22:00 좌석수 : 80석 휴무일 : 첫째주 월요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 모범음식점 ","null","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20130617104826.jpg"
"00008335","대성이용원","005","이 미용업","서울특별시 구로구 구로동로17길 5-3 (구로동)","02-869-4533","구로시장 건너편 2동 장수경로당 앞에 있습니다.","영업시간 : 08:00~20:00 좌석수 : 3석 휴무일 : 매주 화요일  예약 : ○ 카드 : X 주차 : X 홈페이지 주소 : X 전자우편주소 : X","기술과 신용을 최고로 생각합니다.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706145837.JPG"
"00007623","황금성","002","중식","서울특별시 서대문구 홍연길 91 (연희동)","322-6005","null","영업시간 : 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","- 친절하고 청결함 - 1년 이내 가격 인하(자장면 4500원 → 3500원 짬뽕 5000원 → 4000원) - 경로우대 할인 - 저렴한 가격 비결 : 홀에서 식사시 저렴 마진율을 낮춰서 저렴","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20110817134259.jpg"
"00008289","해성반점","002","중식","서울특별시 구로구 고척로 123-2 (개봉동)","02-2684-8991","한사랑 정형외과 옆에 위치합니다.","영업시간 : 10:00~21:00 좌석수 : 50석 휴무일 : 격주 화요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : X 홈페이지 주소 : X 전자우편주소 : X","넓은 홀 신선한 재료 및 청결을 우선시 함 홀에서 식사시 할인 혜택 있음.","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120706154523.JPG"
"00008419","청숫골보리밥쌈밥","001","한식","서울특별시 강남구 삼성로 706 지하1층(청담동)","02-3443-4402","청담역 9변 출구 청담동성당 방면으로 도보1분","영업시간 :10:00~21:00 좌석수 :88석 휴무일 :명절 배달 :불가능 예약 :가능 카드 :가능 주차 :가능 홈페이지 주소 :없음 전자우편주소 :없음         ","신선한 야채를 당일 재료 구입하여 가격이 저렴","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20140501135027.jpg"
"00008532","찌개와","001","한식","서울특별시 강남구 광평로 280 (수서동)","02-3413-0709","수서역 4번 출구 로즈데일빌딩 지하 2층","영업시간 :09:00~22:00 좌석수 : 휴무일 : 배달 :불가능 예약 : 카드 : 주차 :가능 홈페이지 주소 : 전자우편주소 :       ","손님이 만족할 수 있게 써비스로 제공","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20170404095837.jpg"
"00008460","두꺼비","001","한식","서울특별시 강남구 역삼로 421 (대치동)","02-445-8742","도성초교차로에서 휘문고 방향으로 200m 3분거리(좌측)","영업시간 :11:00~22:30 좌석수 :84석 휴무일 :명절 배달 :불가능 예약 :식사는 불가능 고기 가능 카드 :가능 주차 :가능 홈페이지 주소 : 전자우편주소 :         ","소를 통째로 구입 원가절감 모든 반찬에 조미료 미 사용","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20180329100141.jpg"
"00008114","새로본미용실","005","이 미용업","서울특별시 강서구 개화동로27길 33 (방화동)","02-2661-9496","원미아파트 근처","영업시간 : 09:00~21:00 좌석수 : 3개 휴무일 : 1 3주 일요일&매주 월요일 배달 : 해당없음 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 없음 전자우편주소 : 없음  ","업주 혼자 운영하여 인건비 절감 경로우대(3000원) 및 청소년할인(4000원)","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120621111129.JPG"
"00008039","모범이발","005","이 미용업","서울특별시 광진구 면목로11길 5 (중곡동)","499-4897","김이비인후과 뒷 건물","영업시간 : 08:00 ~ 20:30 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","본인 운영으로 인건비 최소화","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120620161522.JPG"
"00008104","대승식당","001","한식","서울특별시 강서구 강서로74길 40 (가양동)","02-2658-5646","호서예술전문학교 근처","영업시간 : 09:00~20:00 좌석수 : 48개 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 불가 홈페이지 주소 : 없음 전자우편주소 : 없음   ","성인 청소년 식사 시 공기밥 추가 제공으로 오래된 단골 손님이 많음","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120621104236.JPG"
"00008175","유성짬뽕","002","중식","서울특별시 송파구 거마로22길 35 (마천동)","443-6692","마천역 2번 출구 10분거리 버스노선 : 3414 3214 3315 3316 3416 마천사거리 하차 ","영업시간 : AM 10:30 ~ PM 9:00 좌석수 : 30석  휴무일 : 첫째 셋째 수요일  배달:가능 예약:가능 카드:가능 주차:불가     ","신선한 재료와 모든 야채는 가게에서 직접 준비함 물가상승대비 가격 동결 청결 친절 서비스","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120703145618.JPG"
"00008123","옛고향","001","한식","서울특별시 서대문구 모래내로 350 (홍은동)","02-394-7681","null","영업시간 : 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 : ","대표자 및 종업원 모두 친절하고 서비스가 좋으며 청결에 신경씀 한곳에서 오랜기간 장사하여 단골 확보로 저렴하게 제공 ","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120621153257.jpg"
"00008384","황소마을","001","한식","서울특별시 용산구 이태원로26길 8 (이태원동)","794-6373","이태원역 6호선(4번 출구) 80m","영업시간 :11:00~22:00  좌석수 : 80석  휴무일 : -  배달 : 불가  예약 :예약환영  카드 : 카드 사용 가능  주차 : 불가  ","이태원 관광특구내에 있으며 친절하고 저렴한 가격으로 운영하는 위생모범업소","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20121101211948.jpg"
"00008018","보성각","002","중식","서울특별시 성북구 정릉로9길 56 (정릉동)","913-4050","국민대후문 앞에 위치","영업시간 : 10시 ~ 20시 좌석수 : 100개 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :  ","대학교앞이라서 학생들을 상대로 저렴한 가격으로 푸짐한 음식을 제공","3","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120618105523.jpg"
